"";"No diagnosis properties";T;2012/05/12;F;"";"";""
"00X00";"Pediatric diagnosis";T;1996/12/31;F;"";"";"Lasten diagnoosi"
"00X02";"Adult diagnosis";T;1996/12/31;F;"";"";"Aikuisen diagnoosi"
"00X10";"General anesthesia";T;2007/10/15;T;"";"";"Yleisanestesia"
"00X99";"Intervention code valid for single use - autogenerated prop";T;2014/04/09;F;"";"";"Intervention code valid for single use - autogenerated prop"
"01X01";"Serious brain trauma";T;1998/11/19;F;"";"";"Vakava aivovamma"
"01X02";"Brain trauma";T;1996/12/31;F;"";"";"Aivojen vamma"
"01X03";"Infarction or other non-transient cerebrovasc. disorder";T;1996/12/31;F;"";"";"Aivoinfarkti  tai muu spes. pitkäkest. aivoverenk.  häiriö"
"01X04";"Non specific cerebrovascular disorder";T;1996/12/31;F;"";"";"Diffuusi aivoverenkierron häiriö"
"01X05";"Carpal tunnel syndrome";T;1996/12/31;F;"";"";"Karpaalitunnelisyndrooma"
"01X20";"Sleep apnoea and snoring";T;1996/12/31;F;"";"";"Uniapnea tai kuorsaus"
"01X21";"Neurological disorder";T;1997/08/09;F;"";"";"Neurologinen sairaus"
"01X22";"Hydrocephalus";T;2000/10/03;F;"";"";"Vesipäisyys"
"01X23";"Neurological signs and symptoms";T;2007/11/20;F;"";"";""
"01X90";"Neurological problem";T;2007/11/23;F;"";"";""
"01X99";"Diseases of nervous system";T;2002/11/28;F;"";"";""
"02X01";"Retinal tumor";T;1996/12/31;F;"";"";"Verkkokalvon kasvain"
"02X02";"Glaucoma";T;1996/12/31;F;"";"";"Glaukooma"
"02X03";"Retinal detachment and bleeding";T;1996/12/31;F;"";"";"Verkkokalvon irtaumat ja vuodot"
"02X90";"Eye problem";T;2007/11/23;F;"";"";""
"02X99";"Diseases and disorders of the eye";T;1996/12/31;F;"";"";""
"03X01";"Open wound of nose";T;2003/09/01;T;"";"";"Nenän avohaava"
"03X02";"Possible facial diagnosis";T;1996/12/31;F;"";"";"Mahdollinen suun alueen diagnoosi"
"03X03";"Possibly snoring";T;1997/11/14;F;"";"";"Mahdollinen kuorsaus"
